,Total # of actions,# of actions w/o dead ends,# of corridor actions,# of node actions,corridor actions,node actions,consecutive turns,% of each corridor action,% of each node action,% of consecutive turn intervals,total # of unique nodes visisted,# of visits for each visited node,water_reached,total # of unique nodes visisted before water,# of visits for each visited node before water
10,499,406,132,367,"{'straight': 84, 'turn around': 48}","{'left turn': 74, 'right turn': 59, 'straight through node': 58, 'node turn around': 176}","{0: 51, 1: 7, 2: 5}","{'straight': 63.64, 'turn around': 36.36}","{'left turn': 20.16, 'right turn': 16.08, 'straight through node': 15.8, 'node turn around': 47.96}","{0: 80.95, 1: 11.11, 2: 7.94}",69,"0       4.0
1       5.0
2       4.0
3      10.0
4       0.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64",True,69,"0       4.0
1       5.0
2       4.0
3      10.0
4       0.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64"
11,17,17,12,5,"{'straight': 8, 'turn around': 4}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 66.67, 'turn around': 33.33}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
12,19,19,12,7,"{'straight': 8, 'turn around': 4}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 2}",{0: 1},"{'straight': 66.67, 'turn around': 33.33}","{'left turn': 42.86, 'right turn': 28.57, 'straight through node': 0.0, 'node turn around': 28.57}",{0: 100.0},6,"0      1.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      1.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
13,539,439,136,403,"{'straight': 96, 'turn around': 40}","{'left turn': 76, 'right turn': 65, 'straight through node': 74, 'node turn around': 188}","{0: 51, 1: 9, 2: 2}","{'straight': 70.59, 'turn around': 29.41}","{'left turn': 18.86, 'right turn': 16.13, 'straight through node': 18.36, 'node turn around': 46.65}","{0: 82.26, 1: 14.52, 2: 3.23}",69,"0       4.0
1       7.0
2       1.0
3       5.0
4      13.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64",True,69,"0       4.0
1       7.0
2       1.0
3       5.0
4      13.0
       ... 
122     0.0
123     0.0
124     0.0
125     0.0
126     0.0
Length: 127, dtype: float64"
14,279,231,82,197,"{'straight': 58, 'turn around': 24}","{'left turn': 35, 'right turn': 42, 'straight through node': 37, 'node turn around': 83}","{0: 26, 1: 3, 2: 3, 3: 1}","{'straight': 70.73, 'turn around': 29.27}","{'left turn': 17.77, 'right turn': 21.32, 'straight through node': 18.78, 'node turn around': 42.13}","{0: 78.79, 1: 9.09, 2: 9.09, 3: 3.03}",38,"0      3.0
1      8.0
2      1.0
3      8.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,38,"0      3.0
1      8.0
2      1.0
3      8.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
15,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
16,15,15,8,7,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 2}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 42.86, 'right turn': 28.57, 'straight through node': 0.0, 'node turn around': 28.57}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
17,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
18,15,15,9,6,"{'straight': 8, 'turn around': 1}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 1}",{0: 1},"{'straight': 88.89, 'turn around': 11.11}","{'left turn': 50.0, 'right turn': 33.33, 'straight through node': 0.0, 'node turn around': 16.67}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
19,21,21,15,6,"{'straight': 10, 'turn around': 5}","{'left turn': 3, 'right turn': 2, 'straight through node': 1, 'node turn around': 0}","{0: 1, 1: 1}","{'straight': 66.67, 'turn around': 33.33}","{'left turn': 50.0, 'right turn': 33.33, 'straight through node': 16.67, 'node turn around': 0.0}","{0: 50.0, 1: 50.0}",6,"0      1.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      1.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
20,17,17,10,7,"{'straight': 8, 'turn around': 2}","{'left turn': 3, 'right turn': 4, 'straight through node': 0, 'node turn around': 0}",{0: 2},"{'straight': 80.0, 'turn around': 20.0}","{'left turn': 42.86, 'right turn': 57.14, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      2.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      2.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
21,113,87,20,93,"{'straight': 18, 'turn around': 2}","{'left turn': 15, 'right turn': 19, 'straight through node': 14, 'node turn around': 45}","{0: 13, 1: 1}","{'straight': 90.0, 'turn around': 10.0}","{'left turn': 16.13, 'right turn': 20.43, 'straight through node': 15.05, 'node turn around': 48.39}","{0: 92.86, 1: 7.14}",21,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    3.0
123    4.0
124    4.0
125    3.0
126    3.0
Length: 127, dtype: float64",True,21,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    3.0
123    4.0
124    4.0
125    3.0
126    3.0
Length: 127, dtype: float64"
22,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
23,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
