,Total # of actions,# of actions w/o dead ends,# of corridor actions,# of node actions,corridor actions,node actions,consecutive turns,% of each corridor action,% of each node action,% of consecutive turn intervals,total # of unique nodes visisted,# of visits for each visited node,water_reached,total # of unique nodes visisted before water,# of visits for each visited node before water
141,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
142,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
143,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
144,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
145,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
146,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
147,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
148,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
149,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
150,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
151,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
152,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
153,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
154,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
155,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
156,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
157,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
158,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
159,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
160,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
161,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
162,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
163,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
164,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
165,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
166,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
167,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
168,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
169,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
170,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
171,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
172,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
173,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
174,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
175,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
176,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
177,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
178,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
179,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
180,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
181,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
182,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
183,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
